Gene,log2FC,AveExpr,t,P.Value,adj.P.Val,B
NEK2,4.635914729,2.537245292,58.92017255,0,0,867.8081103
TOP2A,4.425957583,5.576450446,56.92258012,0,0,833.5222012
UBE2T,3.524778655,3.135891337,56.00361004,0,0,817.6290826
GINS1,4.026985722,2.822285637,55.4291033,0,0,807.6132034
KIF4A,4.310112512,3.06939576,55.23308488,0,0,804.1944344
CCNB1,3.622655815,4.34323805,54.69185091,0,0,794.6951147
CENPF,4.12791334,4.560297845,54.66818948,0,0,794.2721767
RMI2,3.332693969,3.057367372,54.50916969,0,0,791.510353
SAPCD2,4.184661385,3.087797982,54.24910278,0,0,786.9391437
CDC20,4.333946291,3.920411484,54.16388241,0,0,785.4287581
MMP11,5.771798493,4.346202456,53.9619526,0,0,781.8558869
KIF20A,4.082907846,3.154636375,53.8735435,0,0,780.3240939
CEP55,4.162381543,3.325917832,53.37323844,0,0,771.4855784
DEPDC1,4.62278168,2.164485334,53.31026486,0,0,770.3522757
DLGAP5,4.265448158,2.770015375,53.13393345,0,0,767.2467619
HNRNPCP2,2.828420724,2.409873393,53.02042798,0,0,765.2272433
SKA3,4.094614269,1.65651019,52.88481616,0,0,762.7927327
ANLN,4.186670742,4.241566029,52.88436393,0,0,762.7948522
KIF11,3.392729574,3.850003299,52.74186294,0,0,760.2792783
EXO1,4.113772887,2.044505504,52.622341,0,0,758.1496379
OTX1,4.930239876,1.276978797,52.41714003,0,0,754.4663381
UHRF1,3.764317516,3.787167185,52.40323497,0,0,754.2589398
CDC25C,3.950234721,0.822212765,52.24444999,0,0,751.3683342
EPN3,4.782772309,2.743411784,52.12855399,0,0,749.3781886
ZWINT,3.328210286,4.034433259,52.05026367,0,0,747.9583578
CDCA8,3.424892055,3.376190423,51.94376156,0,0,746.0788754
TPX2,4.251096677,4.715520256,51.93406904,0,0,745.8548765
C16orf59,3.4823533,1.561097331,51.87298299,0,0,744.7842843
LINC00511,3.996743329,3.332360884,51.80814854,0,0,743.6578695
SGOL1,3.672998712,1.122480603,51.63852133,0,0,740.5761466
