NameCELL	FileName	Condition
GSM466947.CELL	GSM466947	Cancer
GSM466948.CELL	GSM466948	Normal
GSM466949.CELL	GSM466949	Cancer
GSM466950.CELL	GSM466950	Normal
GSM466951.CELL	GSM466951	Cancer
GSM466952.CELL	GSM466952	Cancer
GSM466953.CELL	GSM466953	Normal
GSM466954.CELL	GSM466954	Cancer
GSM466955.CELL	GSM466955	Normal
GSM466956.CELL	GSM466956	Cancer
GSM466957.CELL	GSM466957	Normal
GSM466958.CELL	GSM466958	Cancer
GSM466959.CELL	GSM466959	Normal
GSM466960.CELL	GSM466960	Cancer
GSM466961.CELL	GSM466961	Normal
GSM466962.CELL	GSM466962	Cancer
GSM466963.CELL	GSM466963	Cancer
GSM466964.CELL	GSM466964	Normal
GSM466965.CELL	GSM466965	Cancer
GSM466966.CELL	GSM466966	Normal
GSM466967.CELL	GSM466967	Cancer
GSM466968.CELL	GSM466968	Normal
GSM466969.CELL	GSM466969	Cancer
GSM466970.CELL	GSM466970	Normal
GSM466971.CELL	GSM466971	Cancer
GSM466972.CELL	GSM466972	Normal
GSM466973.CELL	GSM466973	Cancer
GSM466974.CELL	GSM466974	Normal
GSM466975.CELL	GSM466975	Cancer
GSM466976.CELL	GSM466976	Normal
GSM466977.CELL	GSM466977	Cancer
GSM466978.CELL	GSM466978	Normal
GSM466979.CELL	GSM466979	Normal
GSM466980.CELL	GSM466980	Cancer
GSM466981.CELL	GSM466981	Normal
GSM466982.CELL	GSM466982	Cancer
GSM466983.CELL	GSM466983	Cancer
GSM466984.CELL	GSM466984	Normal
GSM466985.CELL	GSM466985	Cancer
GSM466986.CELL	GSM466986	Normal
GSM466987.CELL	GSM466987	Cancer
GSM466988.CELL	GSM466988	Normal
GSM466989.CELL	GSM466989	Cancer
GSM466990.CELL	GSM466990	Normal
GSM466991.CELL	GSM466991	Cancer
GSM466992.CELL	GSM466992	Normal
GSM466993.CELL	GSM466993	Cancer
GSM466994.CELL	GSM466994	Cancer
GSM466995.CELL	GSM466995	Normal
GSM466996.CELL	GSM466996	Cancer
GSM466997.CELL	GSM466997	Normal
GSM466998.CELL	GSM466998	Cancer
GSM466999.CELL	GSM466999	Normal
GSM467000.CELL	GSM467000	Normal
GSM467001.CELL	GSM467001	Normal
GSM467002.CELL	GSM467002	Normal
GSM467003.CELL	GSM467003	Normal
GSM467004.CELL	GSM467004	Cancer
GSM467005.CELL	GSM467005	Normal
GSM467006.CELL	GSM467006	Cancer
GSM467007.CELL	GSM467007	Normal
GSM467008.CELL	GSM467008	Cancer
GSM467009.CELL	GSM467009	Normal
GSM467010.CELL	GSM467010	Cancer
GSM467011.CELL	GSM467011	Normal
GSM467012.CELL	GSM467012	Cancer
GSM467013.CELL	GSM467013	Normal
GSM467014.CELL	GSM467014	Cancer
GSM467015.CELL	GSM467015	Normal
GSM467016.CELL	GSM467016	Cancer
GSM467017.CELL	GSM467017	Normal
GSM467018.CELL	GSM467018	Cancer
GSM467019.CELL	GSM467019	Normal
GSM467020.CELL	GSM467020	Normal
GSM467021.CELL	GSM467021	Cancer
GSM467022.CELL	GSM467022	Normal
GSM467023.CELL	GSM467023	Cancer
GSM467024.CELL	GSM467024	Cancer
GSM467025.CELL	GSM467025	Normal
GSM467026.CELL	GSM467026	Cancer
GSM467027.CELL	GSM467027	Normal
GSM467028.CELL	GSM467028	Cancer
GSM467029.CELL	GSM467029	Cancer
GSM467030.CELL	GSM467030	Cancer
GSM467031.CELL	GSM467031	Normal
GSM467032.CELL	GSM467032	Cancer
GSM467033.CELL	GSM467033	Normal
GSM467034.CELL	GSM467034	Cancer
GSM467035.CELL	GSM467035	Normal
GSM467036.CELL	GSM467036	Cancer
GSM467037.CELL	GSM467037	Normal
