NameCELL	FileName	Condition
GSM494556.CELL	GSM494556	Cancer
GSM494557.CELL	GSM494557	Cancer
GSM494558.CELL	GSM494558	Cancer
GSM494559.CELL	GSM494559	Cancer
GSM494560.CELL	GSM494560	Cancer
GSM494561.CELL	GSM494561	Cancer
GSM494562.CELL	GSM494562	Cancer
GSM494563.CELL	GSM494563	Cancer
GSM494564.CELL	GSM494564	Cancer
GSM494565.CELL	GSM494565	Cancer
GSM494566.CELL	GSM494566	Cancer
GSM494567.CELL	GSM494567	Cancer
GSM494568.CELL	GSM494568	Cancer
GSM494569.CELL	GSM494569	Cancer
GSM494570.CELL	GSM494570	Cancer
GSM494571.CELL	GSM494571	Cancer
GSM494572.CELL	GSM494572	Cancer
GSM494573.CELL	GSM494573	Cancer
GSM494574.CELL	GSM494574	Cancer
GSM494575.CELL	GSM494575	Cancer
GSM494576.CELL	GSM494576	Cancer
GSM494577.CELL	GSM494577	Cancer
GSM494578.CELL	GSM494578	Cancer
GSM494579.CELL	GSM494579	Cancer
GSM494580.CELL	GSM494580	Cancer
GSM494581.CELL	GSM494581	Cancer
GSM494582.CELL	GSM494582	Cancer
GSM494583.CELL	GSM494583	Cancer
GSM494584.CELL	GSM494584	Cancer
GSM494585.CELL	GSM494585	Cancer
GSM494586.CELL	GSM494586	Cancer
GSM494587.CELL	GSM494587	Cancer
GSM494588.CELL	GSM494588	Cancer
GSM494589.CELL	GSM494589	Cancer
GSM494590.CELL	GSM494590	Cancer
GSM494591.CELL	GSM494591	Cancer
GSM494592.CELL	GSM494592	Cancer
GSM494593.CELL	GSM494593	Cancer
GSM494594.CELL	GSM494594	Cancer
GSM494595.CELL	GSM494595	Cancer
GSM494596.CELL	GSM494596	Cancer
GSM494597.CELL	GSM494597	Cancer
GSM494598.CELL	GSM494598	Cancer
GSM494599.CELL	GSM494599	Cancer
GSM494600.CELL	GSM494600	Cancer
GSM494601.CELL	GSM494601	Cancer
GSM494602.CELL	GSM494602	Cancer
GSM494603.CELL	GSM494603	Cancer
GSM494604.CELL	GSM494604	Cancer
GSM494605.CELL	GSM494605	Cancer
GSM494606.CELL	GSM494606	Cancer
GSM494607.CELL	GSM494607	Cancer
GSM494608.CELL	GSM494608	Cancer
GSM494609.CELL	GSM494609	Cancer
GSM494610.CELL	GSM494610	Cancer
GSM494611.CELL	GSM494611	Cancer
GSM494612.CELL	GSM494612	Cancer
GSM494613.CELL	GSM494613	Cancer
GSM494614.CELL	GSM494614	Cancer
GSM494615.CELL	GSM494615	Cancer
GSM494616.CELL	GSM494616	Normal
GSM494617.CELL	GSM494617	Normal
GSM494618.CELL	GSM494618	Normal
GSM494619.CELL	GSM494619	Normal
GSM494620.CELL	GSM494620	Normal
GSM494621.CELL	GSM494621	Normal
GSM494622.CELL	GSM494622	Normal
GSM494623.CELL	GSM494623	Normal
GSM494624.CELL	GSM494624	Normal
GSM494625.CELL	GSM494625	Normal
GSM494626.CELL	GSM494626	Normal
GSM494627.CELL	GSM494627	Normal
GSM494628.CELL	GSM494628	Normal
GSM494629.CELL	GSM494629	Normal
GSM494630.CELL	GSM494630	Normal
GSM494631.CELL	GSM494631	Normal
GSM494632.CELL	GSM494632	Normal
GSM494633.CELL	GSM494633	Normal
GSM494634.CELL	GSM494634	Normal
GSM494635.CELL	GSM494635	Normal
GSM494636.CELL	GSM494636	Normal
GSM494637.CELL	GSM494637	Normal
GSM494638.CELL	GSM494638	Normal
GSM494639.CELL	GSM494639	Normal
GSM494640.CELL	GSM494640	Normal
GSM494641.CELL	GSM494641	Normal
GSM494642.CELL	GSM494642	Normal
GSM494643.CELL	GSM494643	Normal
GSM494644.CELL	GSM494644	Normal
GSM494645.CELL	GSM494645	Normal
GSM494646.CELL	GSM494646	Normal
GSM494647.CELL	GSM494647	Normal
GSM494648.CELL	GSM494648	Normal
GSM494649.CELL	GSM494649	Normal
GSM494650.CELL	GSM494650	Normal
GSM494651.CELL	GSM494651	Normal
GSM494652.CELL	GSM494652	Normal
GSM494653.CELL	GSM494653	Normal
GSM494654.CELL	GSM494654	Normal
GSM494655.CELL	GSM494655	Normal
GSM494656.CELL	GSM494656	Normal
GSM494657.CELL	GSM494657	Normal
GSM494658.CELL	GSM494658	Normal
GSM494659.CELL	GSM494659	Normal
GSM494660.CELL	GSM494660	Normal
GSM494661.CELL	GSM494661	Normal
GSM494662.CELL	GSM494662	Normal
GSM494663.CELL	GSM494663	Normal
GSM494664.CELL	GSM494664	Normal
GSM494665.CELL	GSM494665	Normal
GSM494666.CELL	GSM494666	Normal
GSM494667.CELL	GSM494667	Normal
GSM494668.CELL	GSM494668	Normal
GSM494669.CELL	GSM494669	Normal
GSM494670.CELL	GSM494670	Normal
GSM494671.CELL	GSM494671	Normal
GSM494672.CELL	GSM494672	Normal
GSM494673.CELL	GSM494673	Normal
GSM494674.CELL	GSM494674	Normal
GSM494675.CELL	GSM494675	Normal
