Name.CELL	FileName	Condition
GSM673870.CELL	GSM673870	Normal
GSM673871.CELL	GSM673871	Cancer
GSM673872.CELL	GSM673872	Normal
GSM673873.CELL	GSM673873	Cancer
GSM673874.CELL	GSM673874	Normal
GSM673875.CELL	GSM673875	Cancer
GSM673876.CELL	GSM673876	Normal
GSM673877.CELL	GSM673877	Cancer
GSM673878.CELL	GSM673878	Normal
GSM673879.CELL	GSM673879	Cancer
GSM673880.CELL	GSM673880	Normal
GSM673881.CELL	GSM673881	Cancer
GSM673882.CELL	GSM673882	Normal
GSM673883.CELL	GSM673883	Cancer
GSM673884.CELL	GSM673884	Normal
GSM673885.CELL	GSM673885	Cancer
GSM673886.CELL	GSM673886	Normal
GSM673887.CELL	GSM673887	Cancer
GSM673888.CELL	GSM673888	Normal
GSM673889.CELL	GSM673889	Cancer
GSM673890.CELL	GSM673890	Normal
GSM673891.CELL	GSM673891	Cancer
GSM673892.CELL	GSM673892	Normal
GSM673893.CELL	GSM673893	Cancer
GSM673894.CELL	GSM673894	Normal
GSM673895.CELL	GSM673895	Cancer
GSM673896.CELL	GSM673896	Normal
GSM673897.CELL	GSM673897	Cancer
GSM673898.CELL	GSM673898	Normal
GSM673899.CELL	GSM673899	Cancer
GSM673900.CELL	GSM673900	Normal
GSM673901.CELL	GSM673901	Cancer
GSM673902.CELL	GSM673902	Normal
GSM673903.CELL	GSM673903	Cancer
GSM673904.CELL	GSM673904	Normal
GSM673905.CELL	GSM673905	Cancer
GSM673906.CELL	GSM673906	Normal
GSM673907.CELL	GSM673907	Cancer
GSM673908.CELL	GSM673908	Normal
GSM673909.CELL	GSM673909	Cancer
GSM673910.CELL	GSM673910	Normal
GSM673911.CELL	GSM673911	Cancer
GSM673912.CELL	GSM673912	Normal
GSM673913.CELL	GSM673913	Cancer
GSM673914.CELL	GSM673914	Normal
GSM673915.CELL	GSM673915	Cancer
GSM673916.CELL	GSM673916	Normal
GSM673917.CELL	GSM673917	Cancer
GSM673918.CELL	GSM673918	Normal
GSM673919.CELL	GSM673919	Cancer
